model_id,group_name,feature_count,silhouette_score,log_likelihood,processing_time,test_transitions,test_transition_rate,test_unique_regimes
DNNHMM_ema_20_rsi_14_0,unknown,1,0.0,-39957.26171875,13.113004207611084,0,0.0,1
DNNHMM_ema_50_rsi_20_1,unknown,1,0.8274366395314232,68836.0703125,46.17850661277771,19,0.037549407114624504,3
DNNHMM_ema_10_rsi_10_2,unknown,1,0.41759209259201113,5629.96484375,21.49048376083374,28,0.05533596837944664,2
DNNHMM_ema_30_rsi_25_3,unknown,1,0.0,-40655.0078125,14.29400086402893,0,0.0,1
DNNHMM_wavelet_haar_rsi_10_4,unknown,1,0.34157620301728886,-12308.2109375,18.344488620758057,84,0.16600790513833993,2
DNNHMM_wavelet_haar_rsi_14_5,unknown,1,0.34459001187320637,-14378.5576171875,19.37300419807434,58,0.11462450592885376,2
DNNHMM_wavelet_haar_rsi_20_6,unknown,1,-0.8714467933073178,-32785.828125,14.005008459091187,0,0.0,1
DNNHMM_wavelet_haar_rsi_25_7,unknown,1,0.0,-33713.94921875,14.005491971969604,0,0.0,1
DNNHMM_wavelet_db2_rsi_10_8,unknown,1,0.0,-37547.7734375,14.023009777069092,0,0.0,1
DNNHMM_wavelet_db2_rsi_14_9,unknown,1,0.0,-35596.125,13.963002920150757,0,0.0,1
DNNHMM_wavelet_db2_rsi_20_10,unknown,1,0.3440115277955442,-10219.955078125,16.94248867034912,40,0.07905138339920949,2
DNNHMM_wavelet_db2_rsi_25_11,unknown,1,0.0,-33245.578125,15.177990198135376,0,0.0,1
DNNHMM_wavelet_db4_rsi_10_12,unknown,1,0.3741217879046004,-10937.5810546875,75.0529887676239,63,0.12450592885375494,2
DNNHMM_wavelet_db4_rsi_14_13,unknown,1,0.0,-36023.94921875,13.923010110855103,0,0.0,1
DNNHMM_wavelet_db4_rsi_20_14,unknown,1,0.0,-37269.29296875,14.060510396957397,0,0.0,1
DNNHMM_wavelet_db4_rsi_25_15,unknown,1,0.0,-34078.9453125,13.783000469207764,0,0.0,1
DNNHMM_wavelet_db6_rsi_10_16,unknown,1,0.0,-38504.18359375,14.023009300231934,0,0.0,1
DNNHMM_wavelet_db6_rsi_14_17,unknown,1,0.0,-37736.75,14.923498153686523,0,0.0,1
DNNHMM_wavelet_db6_rsi_20_18,unknown,1,0.0,-35121.18359375,15.801509141921997,0,0.0,1
DNNHMM_wavelet_db6_rsi_25_19,unknown,1,-0.7924765181885606,-21613.9375,24.73949933052063,86,0.16996047430830039,3
DNNHMM_wavelet_bior1.3_rsi_10_20,unknown,1,0.0,-37541.28125,11.951502323150635,0,0.0,1
DNNHMM_wavelet_bior1.3_rsi_14_21,unknown,1,0.6364274650594786,7333.86328125,51.714996099472046,73,0.1442687747035573,3
DNNHMM_wavelet_bior1.3_rsi_20_22,unknown,1,0.0,-37984.54296875,15.119998693466187,0,0.0,1
DNNHMM_wavelet_bior1.3_rsi_25_23,unknown,1,0.04984578858667388,-17435.357421875,41.08299899101257,15,0.029644268774703556,2
DNNHMM_wavelet_bior2.2_rsi_10_24,unknown,1,0.0,-36133.75390625,14.635499715805054,0,0.0,1
DNNHMM_wavelet_bior2.2_rsi_14_25,unknown,1,0.0,-36189.546875,15.219988346099854,0,0.0,1
DNNHMM_wavelet_bior2.2_rsi_20_26,unknown,1,0.18353550481153436,-15617.2275390625,42.70699954032898,36,0.07114624505928854,2
DNNHMM_wavelet_bior2.2_rsi_25_27,unknown,1,-0.4650762746748528,-18776.841796875,39.74349856376648,50,0.09881422924901186,2
DNNHMM_ssa_5_rsi_10_28,unknown,1,0.5147830076115645,-10517.4189453125,15.617498636245728,45,0.08893280632411067,2
DNNHMM_ssa_5_rsi_14_29,unknown,1,0.7209624883215275,17694.16796875,21.928016901016235,49,0.09683794466403162,3
DNNHMM_ssa_5_rsi_20_30,unknown,1,-0.25986302412100626,-22280.185546875,23.804998874664307,36,0.07114624505928854,2
DNNHMM_ssa_5_rsi_25_31,unknown,1,0.0,-38131.70703125,14.190004825592041,0,0.0,1
DNNHMM_ssa_10_rsi_10_32,unknown,1,0.3787779050627671,-10178.98828125,22.69998812675476,54,0.1067193675889328,2
DNNHMM_ssa_10_rsi_14_33,unknown,1,0.0,-35302.88671875,14.472014904022217,0,0.0,1
DNNHMM_ssa_10_rsi_20_34,unknown,1,0.2215669863832661,-15929.7236328125,29.695997953414917,25,0.04940711462450593,2
DNNHMM_ssa_10_rsi_25_35,unknown,1,0.0,-36300.48828125,18.13749051094055,0,0.0,1
DNNHMM_ssa_20_rsi_10_36,unknown,1,0.0,-37381.875,14.824497938156128,0,0.0,1
DNNHMM_ssa_20_rsi_14_37,unknown,1,0.0,-36301.25,15.021511316299438,0,0.0,1
DNNHMM_ssa_20_rsi_20_38,unknown,1,0.0,-36212.19140625,14.797999620437622,0,0.0,1
DNNHMM_ssa_20_rsi_25_39,unknown,1,0.0,-38747.87890625,14.609516620635986,0,0.0,1
DNNHMM_ssa_50_rsi_10_40,unknown,1,0.0,-38243.796875,14.53050446510315,0,0.0,1
DNNHMM_ssa_50_rsi_14_41,unknown,1,0.0,-35387.59375,14.75499939918518,0,0.0,1
DNNHMM_ssa_50_rsi_20_42,unknown,1,0.0,-38652.421875,14.474998712539673,0,0.0,1
DNNHMM_ssa_50_rsi_25_43,unknown,1,0.0,-36524.29296875,14.78049898147583,0,0.0,1
DNNHMM_ssa_100_rsi_10_44,unknown,1,-0.022788687221724335,-19732.771484375,20.113011360168457,36,0.07114624505928854,2
DNNHMM_ssa_100_rsi_14_45,unknown,1,0.0,-34598.20703125,17.15201187133789,0,0.0,1
DNNHMM_ssa_100_rsi_20_46,unknown,1,0.05647683262199976,-17670.966796875,38.25549006462097,34,0.06719367588932806,2
DNNHMM_ssa_100_rsi_25_47,unknown,1,0.24592132342173811,-15924.552734375,28.137508153915405,26,0.05138339920948617,2
DNNHMM_ssa_200_rsi_10_48,unknown,1,0.0,-38064.11328125,14.784509658813477,0,0.0,1
DNNHMM_ssa_200_rsi_14_49,unknown,1,0.1125010046260626,-14739.6435546875,41.28649187088013,37,0.07312252964426877,2
DNNHMM_ssa_200_rsi_20_50,unknown,1,0.3414948337812209,-10346.5537109375,20.630497455596924,40,0.07905138339920949,2
DNNHMM_ssa_200_rsi_25_51,unknown,1,0.0,-37964.9765625,15.444998264312744,0,0.0,1
DNNHMM_original_rsi_10_52,unknown,1,0.08083573013084044,-18043.046875,33.335001945495605,62,0.1225296442687747,2
DNNHMM_original_rsi_14_53,unknown,1,0.3212784726699085,-14003.3623046875,43.61149978637695,57,0.11264822134387352,2
DNNHMM_original_rsi_20_54,unknown,1,0.641513518411265,6388.77490234375,90.59353733062744,85,0.16798418972332016,3
DNNHMM_original_rsi_25_55,unknown,1,0.0,-34835.1953125,13.766488790512085,0,0.0,1
