,features,silhouette,log_likelihood,train_return_diff,test_return_diff,n_features,combined_score
0,pcr,0.2032758797540005,639.4700854870396,0.003958251062053941,0.005637775147538698,1,0.5991009859593946
1,iv_skew,0.0920566327343472,-784.6831609983305,0.0065617631951069965,0.006742684351479953,1,0.7482329522450468
2,normalized_vrp,0.5779380356445618,591.1726972863928,0.005266604722828996,0.008687867229452355,1,1.1045985079274614
3,pcr_zscore,0.2757066021978279,-864.5360356128685,0.004944144095912473,0.005015229826448631,1,0.7701210117890752
4,vol_of_vol,0.06571755993884978,-2193.855310244691,0.002559601769583088,0.003672909842052516,1,0.3216777368971586
5,trend_strength,0.2748980363490839,-223.18751002824408,0.00318238533378855,0.012493426841236152,1,0.5931365697279389
6,iv_percentile_rank,0.24720528259225596,-3199.321982679306,0.001316149693196181,0.005856902761224915,1,0.3788202519118741
7,relative_pcr,0.29602523561689253,676.7637936731928,0.007207884825267501,0.013179632930287259,1,1.0168137181436427
8,rsi20,0.14906226704290323,-2822.444689983138,0.00532218399410315,0.013444375394450335,1,0.6812806664532183
9,fg,0.2768090577356097,-2711.522960466411,0.007392608586341625,0.019672034703914543,1,1.0160699163697722
10,pct_fg,0.18528182376343694,472.87336974880503,0.056935636217665106,0.0062450102545433235,1,5.878845445529947
11,"pcr, iv_skew",0.12235556628905403,191.73544282840214,0.004352037579568908,0.001936430737103278,2,0.5575593242459449
12,"pcr, normalized_vrp",0.45716132564823975,1206.6340680317444,0.007733826035640977,0.010545741923155492,2,1.2305439292123375
13,"pcr, pcr_zscore",0.2926541771623841,-109.01485051899246,0.001774672583146194,0.005484738276474448,2,0.4701214354770035
14,"pcr, vol_of_vol",0.06552967705729072,-1940.972991764122,0.002559601769583088,0.003672909842052516,2,0.32148985401559954
15,"pcr, trend_strength",0.4242379119273805,886.7034922583398,0.005820348035824239,0.01246731692548558,2,1.0062727155098043
16,"pcr, iv_percentile_rank",0.23743400711532034,-2871.137128441576,0.0016904497916228089,0.013869809329512008,2,0.40647898627760126
17,"pcr, relative_pcr",0.29613759609925777,1578.3198181448347,0.003092527639657082,0.011474716941099247,2,0.6053903600649659
18,"pcr, rsi20",0.1149457191662981,-1856.1358051216464,0.004635555723468669,0.010473862750749883,2,0.578501291513165
19,"pcr, fg",0.2761776335094713,-2266.803330373988,0.006493817655636506,0.019672034703914543,2,0.9255593990731219
20,"pcr, pct_fg",0.30338933945093954,1273.676887250575,0.004034515542080759,0.01042997881161865,2,0.7068408936590155
21,"iv_skew, normalized_vrp",-0.05920115982929537,-382.71654343639767,0.0042797140982425395,0.010271066363651134,2,0.3687702499949586
22,"iv_skew, pcr_zscore",0.1212650745341171,-1600.1328316829768,0.0070052288484332755,0.007328544568783691,2,0.8217879593774446
23,"iv_skew, vol_of_vol",0.49385095900251236,-3141.698920602644,0.003227892129576678,0.00455190082673977,2,0.8166401719601801
24,"iv_skew, trend_strength",0.24298178005309518,-873.9542238972525,0.003258696149503495,0.008246502972765522,2,0.5688513950034446
25,"iv_skew, iv_percentile_rank",0.2444717151055772,-4067.27025690432,0.0008302210596037854,0.005856902761224915,2,0.3274938210659557
26,"iv_skew, relative_pcr",0.29099491078783907,-103.27060707960493,0.005904497665234454,0.009644674348468153,2,0.8814446773112845
27,"iv_skew, rsi20",0.24898379729601192,-3267.6329113220454,0.008583134836665578,0.031822427462448295,2,1.1072972809625696
28,"iv_skew, fg",0.2780064169880856,-3507.7297870224647,0.006483255907668937,0.019672034703914543,2,0.9263320077549793
29,"iv_skew, pct_fg",0.17706177563515918,-153.59760049047367,0.010112630598282728,0.03245919766994145,2,1.188324835463432
30,"normalized_vrp, pcr_zscore",0.22259656720909768,-717.5921287714756,0.0047612168860462455,0.00660744400817962,2,0.6987182558137223
31,"normalized_vrp, vol_of_vol",0.07649719179296173,-2068.8394322165045,0.002106767008676654,0.004591375329467502,2,0.2871738926606271
32,"normalized_vrp, trend_strength",0.007015461339181159,-241.3491015523533,0.004804726435132949,0.009944581779807345,2,0.4874881048524761
33,"normalized_vrp, iv_percentile_rank",0.2368708672509107,-2999.5767574138936,0.004486316875894146,0.0033422634862275624,2,0.6855025548403253
34,"normalized_vrp, relative_pcr",0.007436629127161498,840.9306261376995,0.0037846314021558643,0.008168209125520649,2,0.3858997693427479
35,"normalized_vrp, rsi20",0.17420991874058092,-2550.0407177553507,0.00852105487314579,0.009335526689743039,2,1.02631540605516
36,"normalized_vrp, fg",0.17129712052937815,-2687.818603226774,0.006970065817243416,0.007840654920060176,2,0.8683037022537198
37,"normalized_vrp, pct_fg",0.30278333909885985,849.3326251152973,0.004687380795534492,0.008899527146213579,2,0.771521418652309
38,"pcr_zscore, vol_of_vol",0.04372462389782983,-3376.2585788094902,0.0019307560519890277,0.003489910866151486,2,0.2368002290967326
39,"pcr_zscore, trend_strength",0.20604459807102654,-1057.7583199635767,0.0021662949383128333,0.0055694108087668125,2,0.42267409190230987
40,"pcr_zscore, iv_percentile_rank",0.10805501216133066,-4358.256088465275,0.0012428294547996615,0.007639012267705301,2,0.2323379576412968
41,"pcr_zscore, relative_pcr",0.11025497005825978,12.486770708271672,0.0029519245864087548,0.003683968413539596,2,0.40544742869913525
42,"pcr_zscore, rsi20",0.18835760298939133,-3586.8739019543236,0.006787651129655813,0.010651525561906685,2,0.8671227159549726
43,"pcr_zscore, fg",0.2729752657048238,-3869.5625216140343,0.006493817655636506,0.019672034703914543,2,0.9223570312684743
44,"pcr_zscore, pct_fg",0.3243616805869047,-435.0847335874412,0.0034401773806999533,0.006991018669195839,2,0.6683794186569001
