model_id,model_type,scaling,features,feature_count,silhouette_score,log_likelihood,processing_time
PyTorchDNNHMM_none_Returns_0,PyTorchDNNHMM,none,Returns,1,0.0,-14535.544921875,13.765740156173706
PyTorchDNNHMM_none_Range_1,PyTorchDNNHMM,none,Range,1,0.10180277103009883,-5737.64990234375,14.52001142501831
PyTorchDNNHMM_none_Log_Range_2,PyTorchDNNHMM,none,Log_Range,1,0.15585781546864785,-6194.7607421875,19.73849868774414
PyTorchDNNHMM_none_pct_Range_3,PyTorchDNNHMM,none,pct_Range,1,-0.3228201879626874,-2110.327392578125,34.619489431381226
PyTorchDNNHMM_none_fg_4,PyTorchDNNHMM,none,fg,1,0.12806557442538113,-4147.3427734375,12.826507568359375
PyTorchDNNHMM_none_pct_fg_5,PyTorchDNNHMM,none,pct_fg,1,0.0,-11608.154296875,10.605498552322388
PyTorchDNNHMM_none_RSI_6,PyTorchDNNHMM,none,RSI,1,0.6205613069879214,3997.864990234375,30.072022438049316
PyTorchDNNHMM_none_pct_RSI_7,PyTorchDNNHMM,none,pct_RSI,1,0.0,-13888.1259765625,10.287500619888306
PyTorchDNNHMM_none_Returns+Range+Log_Range+pct_Range+fg+pct_fg+RSI+pct_RSI_8,PyTorchDNNHMM,none,Returns+Range+Log_Range+pct_Range+fg+pct_fg+RSI+pct_RSI,8,0.0,-15028.06640625,10.380007028579712
PyTorchDNNHMM_robust_Returns_9,PyTorchDNNHMM,robust,Returns,1,-0.17582443255656421,-7411.4541015625,17.59799838066101
PyTorchDNNHMM_robust_Range_10,PyTorchDNNHMM,robust,Range,1,0.0,-14191.2900390625,10.836014032363892
PyTorchDNNHMM_robust_Log_Range_11,PyTorchDNNHMM,robust,Log_Range,1,0.0,-14332.458984375,11.068997621536255
PyTorchDNNHMM_robust_pct_Range_12,PyTorchDNNHMM,robust,pct_Range,1,0.0,-13347.9462890625,10.299498081207275
PyTorchDNNHMM_robust_fg_13,PyTorchDNNHMM,robust,fg,1,0.2833234231520483,-4641.08935546875,16.62449860572815
PyTorchDNNHMM_robust_pct_fg_14,PyTorchDNNHMM,robust,pct_fg,1,-0.5331534626200154,-6807.66162109375,37.851011991500854
PyTorchDNNHMM_robust_RSI_15,PyTorchDNNHMM,robust,RSI,1,0.0,-15124.24609375,10.440517663955688
PyTorchDNNHMM_robust_pct_RSI_16,PyTorchDNNHMM,robust,pct_RSI,1,-0.12824431733333008,-7705.30322265625,31.96600914001465
PyTorchDNNHMM_robust_Returns+Range+Log_Range+pct_Range+fg+pct_fg+RSI+pct_RSI_17,PyTorchDNNHMM,robust,Returns+Range+Log_Range+pct_Range+fg+pct_fg+RSI+pct_RSI,8,0.0,-14922.3935546875,11.13249659538269
