model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,external_factor
NonHomoHMM_fg_none_pct_fg+pct_RSI_19,NonHomoHMM,none,pct_fg+pct_RSI,2,0.9548858074325313,-2151.2813546643342,fg
NonHomoHMM_pct_fg_robust_fg_36,NonHomoHMM,robust,fg,1,0.714738904372878,-431.87243442742084,pct_fg
NonHomoHMM_Returns_robust_fg_7,NonHomoHMM,robust,fg,1,0.7135237513901604,-344.5155355781667,Returns
NonHomoHMM_pct_RSI_robust_fg_50,NonHomoHMM,robust,fg,1,0.7111289082798298,-372.06131390755104,pct_RSI
SkewTHMM_robust_fg_16,SkewTHMM,robust,fg,1,0.6652191290287572,-3195.7357501220176,
SkewTHMM_none_fg_1,SkewTHMM,none,fg,1,0.6652191290287572,-3195.7357501220176,
SkewTHMM_none_Returns+pct_RSI_6,SkewTHMM,none,Returns+pct_RSI,2,0.6210136346986282,-6387.143165779884,
SkewTHMM_robust_Returns+pct_RSI_21,SkewTHMM,robust,Returns+pct_RSI,2,0.6116918169052017,-6387.143165779884,
SkewTHMM_robust_Returns+pct_fg_20,SkewTHMM,robust,Returns+pct_fg,2,0.6026980022312399,-7520.923400877083,
SkewTHMM_robust_fg+pct_RSI_23,SkewTHMM,robust,fg+pct_RSI,2,0.5982378842135264,-6281.945618454109,
SkewTHMM_robust_Returns+fg+pct_RSI_26,SkewTHMM,robust,Returns+fg+pct_RSI,3,0.5635024635361511,-9318.687640211432,
SkewTHMM_robust_Returns+fg+pct_fg_25,SkewTHMM,robust,Returns+fg+pct_fg,3,0.558114073119098,-10628.436118458103,
NonHomoHMM_Returns_none_pct_fg+pct_RSI_5,NonHomoHMM,none,pct_fg+pct_RSI,2,0.5459951452535566,-2364.9700710545712,Returns
SkewTHMM_robust_fg+pct_fg_22,SkewTHMM,robust,fg+pct_fg,2,0.5010025934740162,-7806.374405195069,
SkewTHMM_robust_Returns+fg_19,SkewTHMM,robust,Returns+fg,2,0.48010239648172326,-7042.537482441753,
NonHomoHMM_fg_none_Returns+pct_fg_17,NonHomoHMM,none,Returns+pct_fg,2,0.4383490296877906,-3408.759661749305,fg
SkewTHMM_none_Returns+pct_fg_5,SkewTHMM,none,Returns+pct_fg,2,0.37908298399251783,-7520.923400877083,
NonHomoHMM_Returns_robust_pct_fg+pct_RSI_12,NonHomoHMM,robust,pct_fg+pct_RSI,2,0.3367669806704888,-5833.918881605189,Returns
NonHomoHMM_fg_robust_pct_fg+pct_RSI_26,NonHomoHMM,robust,pct_fg+pct_RSI,2,0.317595335902096,-5990.401832648543,fg
SkewTHMM_robust_pct_fg+pct_RSI_24,SkewTHMM,robust,pct_fg+pct_RSI,2,0.29477400143694577,-9413.822684287947,
SkewTHMM_robust_Returns+pct_fg+pct_RSI_27,SkewTHMM,robust,Returns+pct_fg+pct_RSI,3,0.2875645351794543,-16308.089983046142,
NonHomoHMM_fg_robust_Returns+pct_fg+pct_RSI_27,NonHomoHMM,robust,Returns+pct_fg+pct_RSI,3,0.2640831909857888,-6881.399855355489,fg
NonHomoHMM_Returns_robust_fg+pct_fg_10,NonHomoHMM,robust,fg+pct_fg,2,0.2602598830448397,-3910.587346496219,Returns
NonHomoHMM_pct_RSI_robust_fg+pct_fg_54,NonHomoHMM,robust,fg+pct_fg,2,0.2557732149617616,-3930.2460264095334,pct_RSI
SkewTHMM_robust_Returns+fg+pct_fg+pct_RSI_29,SkewTHMM,robust,Returns+fg+pct_fg+pct_RSI,4,0.24235177844381095,-19390.51558788927,
SkewTHMM_none_pct_fg+pct_RSI_9,SkewTHMM,none,pct_fg+pct_RSI,2,0.23513591271983586,-9413.822684287947,
NonHomoHMM_pct_fg_robust_Returns+fg+pct_RSI_41,NonHomoHMM,robust,Returns+fg+pct_RSI,3,0.21087963523565956,-4858.094606678466,pct_fg
SkewTHMM_none_Returns+pct_fg+pct_RSI_12,SkewTHMM,none,Returns+pct_fg+pct_RSI,3,0.19112998744692067,-16308.089983046142,
SkewTHMM_robust_fg+pct_fg+pct_RSI_28,SkewTHMM,robust,fg+pct_fg+pct_RSI,3,0.1881182248798106,-13026.911091142005,
SkewTHMM_robust_pct_fg_17,SkewTHMM,robust,pct_fg,1,0.1816440928275771,-5134.205887933418,
SkewTHMM_none_pct_fg_2,SkewTHMM,none,pct_fg,1,0.18164409282757688,-5134.205887933418,
NonHomoHMM_Returns_robust_fg+pct_fg+pct_RSI_13,NonHomoHMM,robust,fg+pct_fg+pct_RSI,3,0.16133472539963298,-6992.4138472320055,Returns
NonHomoHMM_Returns_robust_fg+pct_RSI_11,NonHomoHMM,robust,fg+pct_RSI,2,0.1534005804587329,-3444.500562080436,Returns
NonHomoHMM_pct_RSI_robust_Returns+fg_52,NonHomoHMM,robust,Returns+fg,2,0.1496062807964043,-3571.370892675185,pct_RSI
NonHomoHMM_pct_fg_robust_fg+pct_RSI_40,NonHomoHMM,robust,fg+pct_RSI,2,0.1424274152643415,-3519.867437715392,pct_fg
NonHomoHMM_pct_RSI_robust_Returns+fg+pct_fg_55,NonHomoHMM,robust,Returns+fg+pct_fg,3,0.13860950548749715,-7447.604319584873,pct_RSI
NonHomoHMM_pct_fg_robust_Returns+fg_38,NonHomoHMM,robust,Returns+fg,2,0.12189232708989366,-3633.0895273148753,pct_fg
NonHomoHMM_pct_fg_robust_Returns+pct_RSI_39,NonHomoHMM,robust,Returns+pct_RSI,2,0.09176346706453711,-3479.337953361818,pct_fg
NonHomoHMM_fg_robust_Returns+pct_fg_24,NonHomoHMM,robust,Returns+pct_fg,2,0.08604692478706785,-6237.986248960019,fg
NonHomoHMM_fg_robust_Returns+pct_RSI_25,NonHomoHMM,robust,Returns+pct_RSI,2,0.08265426043700969,-3377.581347977494,fg
NonHomoHMM_pct_RSI_robust_Returns+pct_fg_53,NonHomoHMM,robust,Returns+pct_fg,2,0.07560699156884786,-6202.393940174772,pct_RSI
NonHomoHMM_pct_RSI_none_Returns+pct_fg_46,NonHomoHMM,none,Returns+pct_fg,2,0.05317672438629741,-3214.2500471794174,pct_RSI
SkewTHMM_none_Returns+fg_4,SkewTHMM,none,Returns+fg,2,0.027092326681608787,-7042.537482441753,
SkewTHMM_none_Returns+fg+pct_fg_10,SkewTHMM,none,Returns+fg+pct_fg,3,0.007067359476471179,-10628.436118458103,
NonHomoHMM_pct_RSI_none_fg+pct_fg_47,NonHomoHMM,none,fg+pct_fg,2,0.0,-9224846.179799467,pct_RSI
NonHomoHMM_pct_RSI_none_Returns+fg_45,NonHomoHMM,none,Returns+fg,2,0.0,-18098240.184838817,pct_RSI
NonHomoHMM_pct_RSI_none_fg_43,NonHomoHMM,none,fg,1,0.0,-19253567.75697235,pct_RSI
NonHomoHMM_pct_fg_none_Returns+fg+pct_RSI_34,NonHomoHMM,none,Returns+fg+pct_RSI,3,0.0,-13773894.456250288,pct_fg
NonHomoHMM_pct_fg_none_fg+pct_RSI_33,NonHomoHMM,none,fg+pct_RSI,2,0.0,-15107695.454916226,pct_fg
NonHomoHMM_Returns_none_fg+pct_RSI_4,NonHomoHMM,none,fg+pct_RSI,2,0.0,-18502615.92556443,Returns
NonHomoHMM_pct_fg_none_pct_RSI_30,NonHomoHMM,none,pct_RSI,1,0.0,-1020.747586124193,pct_fg
NonHomoHMM_pct_fg_none_fg_29,NonHomoHMM,none,fg,1,0.0,-19761548.12159764,pct_fg
NonHomoHMM_pct_fg_none_Returns_28,NonHomoHMM,none,Returns,1,0.0,-795.3933207926334,pct_fg
NonHomoHMM_Returns_none_fg+pct_fg+pct_RSI_6,NonHomoHMM,none,fg+pct_fg+pct_RSI,3,0.0,-9234009.764711283,Returns
NonHomoHMM_pct_fg_none_Returns+fg_31,NonHomoHMM,none,Returns+fg,2,0.0,-14657440.18005648,pct_fg
NonHomoHMM_Returns_none_fg+pct_fg_3,NonHomoHMM,none,fg+pct_fg,2,0.0,-9230508.115173232,Returns
NonHomoHMM_Returns_none_pct_RSI_2,NonHomoHMM,none,pct_RSI,1,0.0,-1309.1141598907304,Returns
NonHomoHMM_fg_none_pct_RSI_16,NonHomoHMM,none,pct_RSI,1,0.0,-574.251186410987,fg
NonHomoHMM_Returns_none_fg_0,NonHomoHMM,none,fg,1,0.0,-19837216.56641665,Returns
NonHomoHMM_pct_RSI_none_Returns+fg+pct_fg_48,NonHomoHMM,none,Returns+fg+pct_fg,3,-0.02055690497825278,-9520126.159871176,pct_RSI
NonHomoHMM_fg_none_Returns+pct_fg+pct_RSI_20,NonHomoHMM,none,Returns+pct_fg+pct_RSI,3,-0.08494884182248745,-5476.897787588527,fg
SkewTHMM_none_Returns+fg+pct_RSI_11,SkewTHMM,none,Returns+fg+pct_RSI,3,-0.08941649081523234,-9318.687640211432,
NonHomoHMM_pct_fg_robust_Returns_35,NonHomoHMM,robust,Returns,1,-0.12626911874700075,-3026.647368374448,pct_fg
SkewTHMM_none_fg+pct_RSI_8,SkewTHMM,none,fg+pct_RSI,2,-0.13372008425722812,-6281.945618454109,
