model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,window_size,step_size,n_mixtures,n_factors
StandardHMM_none_fg+pct_RSI_24,StandardHMM,none,fg+pct_RSI,2,0.5587276618172509,-5695.579717308765,,,,
StandardHMM_none_Returns+fg_9,StandardHMM,none,Returns+fg,2,0.5534636468984268,-3459.5146823050063,,,,
GMMHMM_none_Returns+fg_9,GMMHMM,none,Returns+fg,2,0.5531925807352847,-3601.848795622263,,,3.0,
GMMHMM_none_pct_Range+pct_RSI_21,GMMHMM,none,pct_Range+pct_RSI,2,0.5519095654660231,-5118.652084927139,,,3.0,
StandardHMM_none_fg+pct_fg_22,StandardHMM,none,fg+pct_fg,2,0.5303207467590899,-6758.798507997299,,,,
GMMHMM_none_fg+pct_fg_22,GMMHMM,none,fg+pct_fg,2,0.5300183665560645,-3746.404971645905,,,3.0,
StandardHMM_none_Returns+fg+pct_fg_37,StandardHMM,none,Returns+fg+pct_fg,3,0.5284650234655904,-2738.44259360547,,,,
GMMHMM_none_Range+fg_14,GMMHMM,none,Range+fg,2,0.5236916921935659,-3199.4444654252734,,,3.0,
StandardHMM_none_Range+fg_14,StandardHMM,none,Range+fg,2,0.5226282887400727,-3384.4250900308007,,,,
HierarchicalHMM_1factors_none_pct_Range+pct_RSI_14,HierarchicalHMM,none,pct_Range+pct_RSI,2,0.5131964091097717,-1805.9334028154037,,,,1.0
GMMHMM_none_Returns+Range+fg_29,GMMHMM,none,Returns+Range+fg,3,0.48920394767672126,-6190.698364038886,,,3.0,
HierarchicalHMM_1factors_none_Returns+pct_Range_1,HierarchicalHMM,none,Returns+pct_Range,2,0.4747780430555079,-1847.8734700870482,,,,1.0
StandardHMM_none_pct_Range+pct_RSI_21,StandardHMM,none,pct_Range+pct_RSI,2,0.47348703278152915,106.79974044281015,,,,
StandardHMM_none_Returns+Range+fg_29,StandardHMM,none,Returns+Range+fg,3,0.4729304334111822,831.2296978711892,,,,
StandardHMM_none_Returns+pct_Range_8,StandardHMM,none,Returns+pct_Range,2,0.470980025120305,2302.619326823373,,,,
GMMHMM_robust_pct_Range+pct_RSI_148,GMMHMM,robust,pct_Range+pct_RSI,2,0.4661794933706034,-5118.652084927264,,,3.0,
StandardHMM_robust_pct_Range+pct_RSI_148,StandardHMM,robust,pct_Range+pct_RSI,2,0.4661794933706034,-5118.652084927139,,,,
GMMHMM_none_Returns+pct_Range_8,GMMHMM,none,Returns+pct_Range,2,0.46231360304589825,-4949.432624969486,,,3.0,
HierarchicalHMM_2factors_none_Returns+pct_Range+pct_RSI_38,HierarchicalHMM,none,Returns+pct_Range+pct_RSI,3,0.450429273836216,-4129.477173824917,,,,2.0
GMMHMM_robust_Returns+Range+pct_Range_155,GMMHMM,robust,Returns+Range+pct_Range,3,0.4451941602947413,-7186.68388404589,,,3.0,
StandardHMM_robust_Returns+Range+pct_Range_155,StandardHMM,robust,Returns+Range+pct_Range,3,0.4451941602947413,-7186.683884045965,,,,
